YEAR,MILEAGE,FAULT
2014,19039,General Repair
2014,31250,Loop Service
2014,18291,General Repair
2014,48048,Loop Service
2014,88371,General Repair
2014,94663,Loop Service
2014,16143,Loop Service
2014,72687,Loop Service
2014,35756,Loop Service
2014,2820,General Repair
2014,58520,Loop Service
2014,65345,Loop Service
2014,72696,Loop Service
2014,23318,General Repair
2014,36622,Loop Service
2014,31036,Loop Service
2014,109406,General Repair
2014,109406,Loop Service
2014,38291,Loop Service
2014,52547,Loop Service
2014,33356,Loop Service
2014,63703,Loop Service
2015,39145,General Repair
2015,35623,Loop Service
2015,5662,Loop Service
2015,62113,Loop Service
2015,109239,Loop Service
2015,6907,General Repair
2015,48610,Loop Service
2015,24993,Loop Service
2015,57887,Loop Service
2015,80222,Loop Service
2015,69861,Loop Service
2015,80292,Loop Service
2015,5537,General Repair
2015,2815,General Repair
2015,7058,General Repair
2015,13847,General Repair
2015,43739,General Repair
2015,52645,General Repair
2015,92490,Loop Service
2015,18265,General Repair
2015,37930,Loop Service
2015,8292,General Repair
2015,54994,Loop Service
2015,4633,Loop Service
2015,38953,Loop Service
2015,56850,Loop Service
2015,47369,Loop Service
2015,45334,Loop Service
2015,350,General Repair
2015,48417,Loop Service
2015,586,General Repair
2015,52879,Loop Service
2015,16702,General Repair
2015,84096,Loop Service
2015,82459,Loop Service
2015,172283,Loop Service
2015,116934,Loop Service
2015,139534,Loop Service
2015,32330,Loop Service
2015,11842,Loop Service
2015,161946,Loop Service
2015,177475,Loop Service
2015,39,General Repair
2015,57333,Loop Service
2015,41983,General Repair
2015,169,General Repair
2015,26,General Repair
2015,12398,Loop Service
2015,12398,General Repair
2015,6650,General Repair
2015,12017,General Repair
2015,23224,General Repair
2014,36829,Loop Service
2014,62652,Loop Service
2014,55747,Loop Service
2014,28417,General Repair
2014,47356,General Repair
2014,75083,Loop Service
2014,11742,Loop Service
2014,16599,Loop Service
2014,66119,Alignment
2014,35050,Alignment
2014,41007,Alignment
2014,54243,Alignment
2014,48059,Alignment
2014,53353,Alignment
2014,26608,Alignment
2014,51726,Alignment
2014,30069,Alignment
2014,30048,Alignment
2014,58398,Alignment
2014,59750,Alignment
2014,26053,Alignment
2014,22828,Alignment
2014,14509,Alignment
2014,29711,Alignment
2014,41891,Alignment
2015,45022,Alignment
2015,28459,Alignment
2015,26395,Alignment
2015,74619,Alignment
2015,7650,Alignment
2015,89853,Alignment
2015,30244,Alignment
2015,40520,Alignment
2015,141511,Alignment
2015,11749,Alignment
2015,65011,Alignment
2015,52223,Alignment
2015,17478,Alignment
2015,20601,Alignment
2015,8204,Alignment
2015,31686,Alignment
2015,5401,Alignment
2015,59513,Alignment
2015,92649,Alignment
2015,18917,Alignment
2015,24002,Alignment
2015,38059,Alignment
2015,45213,Alignment
2015,60094,Alignment
2015,21196,Alignment
2015,42895,Alignment
2015,50005,Alignment
2015,24230,Alignment
2015,100233,Alignment
2015,52436,Alignment
2015,23075,Alignment
2015,73374,Alignment
2015,62862,Alignment
2015,18734,Alignment
2015,59794,Alignment
2015,20519,Alignment
2015,34010,Alignment
2015,46821,Alignment
2015,77150,Alignment
2015,60816,Alignment
2015,30680,Alignment
2015,4792,Alignment
2015,109201,Alignment
2015,17035,Alignment
2015,26987,Alignment
2015,14122,Alignment
2014,52123,Alignment
2014,51231,Alignment
2014,34181,Alignment
2014,15708,Alignment
2014,24472,Alignment
2014,39135,Alignment
2014,69591,Alignment
2015,77081,Alignment
2015,54750,Alignment
2015,57928,Alignment
2015,52879,Alignment
2015,49697,Alignment
2015,34110,Alignment
2014,13339,Alignment
2014,26914,Alignment
2014,16120,Alignment
2014,130989,Alignment
2014,77569,Alignment
2014,39867,Alignment
2014,58398,Alignment
2014,65964,Alignment
2015,45795,Alignment
2015,45772,Alignment
2015,95989,Alignment
2015,12648,Alignment
2015,42962,Alignment
2015,30992,Alignment
2015,23079,Alignment
2015,39738,Alignment
2015,19043,Alignment
2015,13795,Alignment
2015,43053,Alignment
2015,22580,Alignment
2015,20046,Alignment
2014,122100,Alignment
2015,5239,Alignment
2015,36896,Alignment
2015,78100,Alignment
2015,65386,Alignment
2014,108374,Tune Up
2014,40419,Tune Up 
2014,86861,Tune Up 
2014,107313,Tune Up
2014,30069,Tune Up 
2014,56328,Tune Up
2014,56846,Tune Up
2014,55357,Tune Up
2014,48667,Tune Up
2014,90467,Tune Up
2014,45899,Tune Up
2014,44699,Tune Up  
2014,20933,Tune Up 
2015,44221,Tune Up
2015,45022,Tune Up
2015,20657,Tune Up
2015,74619,Tune Up
2015,71002,Tune Up
2015,44171,Tune Up
2015,60747,Tune Up
2015,30244,Tune Up   
2015,53048,Tune Up
2015,130331,Tune Up   
2015,109329,Tune Up
2015,40026,Tune Up
2015,30407,Tune Up
2015,49033,Tune Up
2015,43243,Tune Up
2015,59027,Tune Up
2015,95989,Tune Up
2015,22808,Tune Up
2015,22111,Tune Up
2015,44523,Tune Up  
2015,93414,Tune Up
2015,45142,Tune Up
2015,37882,Tune Up
2015,40305,Tune Up
2015,26758,Tune Up
2015,43676,Tune Up
2015,40298,Tune Up
2015,53910,Tune Up
2015,41466,Tune Up
2015,90104,Tune Up 
2015,99149,Tune Up  
2015,42823,Tune Up
2015,70874,Tune Up
2015,46347,Tune Up
2015,81228,Tune Up
2015,52371,Tune Up
2014,129988,Tune Up
2014,39691,Tune Up
2014,48691,Tune Up
2014,76252,Tune Up
2014,39404,Tune Up
2014,46677,Tune Up
2014,44484,Tune Up
2014,76640,Tune Up
2014,75643,Tune Up 
2014,85447,Tune Up
2014,46300,Tune Up
2014,79818,Tune Up
2014,48945,Tune Up
2014,30729,Tune Up
2014,94663,Tune Up
2015,62479,Tune Up
2015,24993,Tune Up 
2015,47510,Tune Up
2015,82009,Tune Up
2015,96241,Tune Up
2015,52879,Tune Up
2014,92716,Tune Up
2014,86745,H/V Battery Service
2014,73840,H/V Battery Service
2014,57640,H/V Battery Service
2014,70438,H/V Battery Service
2014,113152,H/V Battery Service
2014,47645,H/V Battery Service
2014,82333,H/V Battery Service
2014,125886,H/V Battery Service
2014,74596,H/V Battery Service
2014,48044,H/V Battery Service
2014,98522,H/V Battery Service
2014,101418,H/V Battery Service
2014,75558,H/V Battery Service
2014,156595,H/V Battery Service
2014,125194,H/V Battery Service
2014,101680,H/V Battery Service
2014,75200,H/V Battery Service
2014,70094,H/V Battery Service
2014,23855,H/V Battery Service
2014,78611,H/V Battery Service
2014,75246,H/V Battery Service
2014,106528,H/V Battery Service
2014,78833,H/V Battery Service
2014,114290,H/V Battery Service
2014,170920,H/V Battery Service
2014,60620,H/V Battery Service
2014,86668,H/V Battery Service
2014,113985,H/V Battery Service
2014,39652,H/V Battery Service
2014,143575,H/V Battery Service
2014,72644,H/V Battery Service
2014,72149,H/V Battery Service
2015,119305,H/V Battery Service
2015,119021,H/V Battery Service
2015,162079,H/V Battery Service
2015,121331,H/V Battery Service
2015,96457,H/V Battery Service
2015,97074,H/V Battery Service
2015,71725,H/V Battery Service
2015,71725,H/V Battery Service
2015,102375,H/V Battery Service
2015,60797,H/V Battery Service
2015,156641,H/V Battery Service
2015,49107,H/V Battery Service
2015,48607,H/V Battery Service
2015,98057,H/V Battery Service
2015,95995,H/V Battery Service
2015,84194,H/V Battery Service
2015,65651,H/V Battery Service
2015,73938,H/V Battery Service
2015,101233,H/V Battery Service
2015,27012,H/V Battery Service
2015,103467,H/V Battery Service
2015,86815,H/V Battery Service
2015,29390,H/V Battery Service
2015,33416,H/V Battery Service
2015,103583,H/V Battery Service
2015,110183,H/V Battery Service
2015,20382,H/V Battery Service
2015,70817,H/V Battery Service
2015,70200,H/V Battery Service
2015,100385,H/V Battery Service
2015,112715,H/V Battery Service
2015,81228,H/V Battery Service
2014,80117,H/V Battery Service
2014,55320,H/V Battery Service
2014,112128,H/V Battery Service
2014,35764,H/V Battery Service
2014,52068,H/V Battery Service
2014,48142,H/V Battery Service
2014,80154,H/V Battery Service
2014,56269,H/V Battery Service
2014,127695,H/V Battery Service
2014,33189,H/V Battery Service
2014,63285,H/V Battery Service
2014,30262,H/V Battery Service
2014,66135,H/V Battery Service
2014,44317,H/V Battery Service
2014,60993,H/V Battery Service
2014,73701,H/V Battery Service
2015,116724,H/V Battery Service
2014,109054,H/V Battery Service
2014,36829,H/V Battery Service
2014,91280,Loop Service
2014,94743,Loop Service
2014,7831,General Repair
2014,50345,Loop Service
2014,42286,Loop Service
2014,38507,General Repair
2014,23196,Loop Service
2014,15162,General Repair
2014,90134,General Repair
2014,37112,Loop Service
2014,50470,Loop Service
2014,101288,Loop Service
2014,13644,General Repair
2014,85965,Loop Service
2014,44489,Loop Service
2014,18653,General Repair
2014,29604,Loop Service
2014,53965,General Repair
2014,69013,General Repair
2014,18537,General Repair
2014,21430,Loop Service
2014,39476,General Repair
2014,38003,Loop Service
2014,83687,Loop Service
2014,36174,General Repair
2014,13616,General Repair
2014,13616,Loop Service
2014,9459,Loop Service
2014,19773,General Repair
2014,40692,Loop Service
2014,9832,Loop Service
2014,24470,Loop Service
2014,11150,General Repair
2014,46316,Loop Service
2014,46716,Loop Service
2014,99602,Loop Service
2014,52851,Loop Service
2014,85001,Loop Service
2014,83203,General Repair
2014,159325,Loop Service
2014,56144,General Repair
2014,53353,Loop Service
2014,50739,Loop Service
2014,5648,General Repair
2014,51270,Loop Service
2014,37042,Loop Service
2014,6651,General Repair
2014,73659,General Repair
2014,32735,General Repair
2014,8328,General Repair
2014,1001,General Repair
2014,35013,Loop Service
2014,26108,Loop Service
2014,101680,Loop Service
2014,101680,Loop Service
2014,52526,General Repair
2014,46318,General Repair
2014,60055,Loop Service
2014,53100,Loop Service
2014,36515,General Repair
2014,36515,General Repair
2014,49436,Loop Service
2014,84747,Loop Service
2014,36557,General Repair
2014,70022,General Repair
2014,60714,Loop Service
2014,55488,Loop Service
2014,9122,Loop Service
2014,40657,Loop Service
2014,124,General Repair
2014,83479,General Repair
2014,40230,Loop Service
2014,62692,Loop Service
2014,11274,General Repair
2014,80106,Loop Service
2014,55602,Loop Service
2014,21982,Loop Service
2014,21982,General Repair
2014,26608,Loop Service
2014,48530,Loop Service
2014,28715,Loop Service
2014,57168,Loop Service
2014,40155,General Repair
2014,10951,General Repair
2014,80125,Loop Service
2014,7761,General Repair
2014,29777,Loop Service
2014,44928,Loop Service
2014,21626,Loop Service
2014,11279,Loop Service
2014,86861,Loop Service
2014,19869,Loop Service
2014,50044,Loop Service
2014,64672,Loop Service
2014,81098,Loop Service
2014,103115,Loop Service
2014,32781,Loop Service
2014,35450,General Repair
2014,80151,General Repair
2014,74961,Loop Service
2014,29110,General Repair
2014,98694,General Repair
2014,37180,Loop Service
2014,49105,General Repair
2014,3808,General Repair
2014,485279,Loop Service
2014,112150,Loop Service
2014,44462,Loop Service
2014,52151,General Repair
2014,28236,Loop Service
2014,6826,General Repair
2014,28077,General Repair
2014,22343,Loop Service
2014,36225,General Repair
2014,80790,Loop Service
2014,29561,General Repair
2014,55580,Loop Service
2014,49956,Loop Service
2014,18362,General Repair
2014,38502,Loop Service
2014,72877,Loop Service
2014,76835,Loop Service
2014,8815,General Repair
2014,18703,Loop Service
2014,44703,Loop Service
2014,55355,Loop Service
2014,33818,Loop Service
2014,75912,General Repair
2014,81795,Loop Service
2014,71575,Loop Service
2014,36426,Loop Service
2014,20957,General Repair
2014,73374,Loop Service
2014,25721,Loop Service
2014,38070,General Repair
2014,48719,Loop Service
2014,15850,Loop Service
2015,22891,Loop Service
2015,49009,Loop Service
2015,44221,Loop Service
2015,131,General Repair
2015,53948,General Repair
2015,33964,Loop Service
2015,39193,Loop Service
2015,42348,General Repair
2015,54810,General Repair
2015,68751,Loop Service
2015,75535,Loop Service
2015,45022,Loop Service
2015,8473,Loop Service
2015,22058,General Repair
2015,28459,Loop Service
2015,4130,General Repair
2015,80177,Loop Service
2015,35262,Loop Service
2015,54836,General Repair
2015,74619,Loop Service
2015,80274,Loop Service
2015,28287,Loop Service
2015,39946,Loop Service
2015,67734,Loop Service
2015,77983,Loop Service
2015,292,General Repair
2015,14924,Loop Service
2015,268,General Repair
2015,25723,Loop Service
2015,42635,Loop Service
2015,56248,Loop Service
2015,63000,General Repair
2015,115353,Loop Service
2015,53748,General Repair
2015,60747,Loop Service
2015,40470,Loop Service
2015,324,General Repair
2015,97219,Loop Service
2015,65029,Loop Service
2015,70040,Loop Service
2015,69,General Repair
2015,29401,Loop Service
2015,97290,General Repair
2015,15663,General Repair
2015,103529,Loop Service
2015,3327,General Repair
2015,82896,Loop Service
2015,316,General Repair
2015,185544,Loop Service
2015,40624,Loop Service
2015,46730,Loop Service
2015,17478,Loop Service
